 ,courtship_time,mate_time ,indicator,,
1,1260.6,0,1,,0
2,1604.61,0,1,,0
3,364.825,1079.77,0.252544,,17.9961666666667
4,73.5062,959.791,0.0711376,,15.9965166666667
5,191.45,0,1,,0
6,472.378,0,1,,0
7,136.555,1163.67,0.105024,,19.3945
8,19.3789,957.419,0.0198392,,15.9569833333333
9,174.243,1305.57,0.117747,,21.7595
10,59.2393,1087.59,0.0516548,,18.1265
11,145.509,1061.9,0.120514,,17.6983333333333
12,242.704,0,1,,0
13,303.648,1056.02,0.223325,,17.6003333333333
14,31.6411,1629.93,0.0190428,,27.1655
15,62.3467,1515.67,0.0395096,,25.2611666666667
16,109.157,0,1,,0
17,557.311,465.762,0.544742,,7.7627
19,76.7806,1025.61,0.069649,,17.0935
20,94.3219,652.268,0.126337,,10.8711333333333
21,3.9092,1308.01,0.00297975,,21.8001666666667
22,1566.58,1411.95,0.525957,,23.5325
23,213.435,0,1,,0
24,157.47,0,1,,0
25,423.463,994.072,0.298732,,16.5678666666667
26,145.91,0,1,,0
27,466.43,387.244,0.54638,,6.45406666666667
28,1833.51,403.048,0.819791,,6.71746666666667
29,314.005,903.325,0.257946,,15.0554166666667
30,801.084,0,1,,0
31,97.5962,0,1,,0
32,252.26,412.738,0.37934,,6.87896666666667
33,112.598,1507.91,0.0694831,,25.1318333333333
34,266.995,1265.18,0.174259,,21.0863333333333
35,352.195,0,1,,0
36,586.346,0,1,,0
