 ,courtship_time,mate_time ,indicator
1,301.342,0,1
2,437.462,0,1
3,629.113,0,1
4,125.696,0,1
5,160.544,0,1
6,386.576,0,1
7,300.006,0,1
8,502.783,0,1
9,139.227,0,1
10,247.248,668.239,0.270073
11,300.975,0,1
12,174.644,0,1
13,409.897,1031.39,0.284396
14,95.5581,0,1
15,193.388,0,1
16,114.67,0,1
17,240.065,457.175,0.344307
19,223.459,0,1
20,30.9394,626.607,0.0470528
21,6.31485,1303.53,0.00482106
22,1638.79,0,1
23,214.07,0,1
24,149.919,0,1
25,581.535,0,1
26,99.4005,0,1
27,249.086,0,1
28,1376.34,0,1
29,326.134,0,1
30,71.2342,0,1
31,87.9402,0,1
32,396.299,0,1
33,194.157,0,1
34,783.844,0,1
35,309.428,0,1
36,387.979,0,1
