 ,courtship_time,mate_time ,indicator,,
1,76.4131,1620.81,0.0450223,,27.0135
2,66.2224,611.438,0.0977221,,10.1906333333333
3,283.6,360.348,0.440409,,6.0058
4,128.035,0,1,,0
5,104.412,0,1,,0
6,264.923,0,1,,0
7,61.0436,1204.5,0.0482351,,20.075
8,5.78026,1498.19,0.00384333,,24.9698333333333
9,22.5196,1473.8,0.01505,,24.5633333333333
10,47.1108,1040.28,0.0433246,,17.338
11,70.6996,1054.98,0.0628061,,17.583
12,418.184,0,1,,0
13,224.328,0,1,,0
14,31.1733,1628.5,0.0187828,,27.1416666666667
15,34.2806,1625.49,0.0206538,,27.0915
16,59.6737,0,1,,0
17,540.271,430.513,0.556531,,7.17521666666667
19,79.9882,1023.74,0.0724708,,17.0623333333333
20,41.6647,1569.69,0.0258569,,26.1615
21,2.97366,1305.07,0.00227337,,21.7511666666667
22,980.573,1411.65,0.4099,,23.5275
23,116.14,0,1,,0
24,97.0282,0,1,,0
25,203.946,412.804,0.330679,,6.88006666666667
26,135.586,0,1,,0
27,94.3219,876.729,0.0971338,,14.61215
28,816.387,1291.87,0.387233,,21.5311666666667
29,154.263,1945.91,0.0734524,,32.4318333333333
30,196.663,0,1,,0
31,101.606,0,1,,0
32,127.299,1274.33,0.0908224,,21.2388333333333
33,47.7791,1507.88,0.0307131,,25.1313333333333
34,517.618,0,1,,0
35,184.534,0,1,,0
36,446.083,0,1,,0
