 ,courtship_time,mate_time ,indicator
1,333.9,0,1
2,257.557,0,1
3,352.485,0,1
4,338.171,0,1
5,635.068,0,1
6,128.862,0,1
7,364.564,0,1
8,371.471,0,1
9,505.305,0,1
10,396.162,0,1
11,333.433,0,1
12,200.967,0,1
13,456.656,0,1
14,419.519,0,1
15,622.388,0,1
16,64.8648,0,1
17,582.949,0,1
19,351.852,0,1
20,405.438,0,1
21,335.735,0,1
22,928.694,0,1
23,135.802,0,1
24,334.835,0,1
25,244.277,392.359,0.3837
26,128.128,0,1
27,329.696,0,1
28,596.162,0,1
29,638.371,0,1
30,550.183,0,1
31,121.722,0,1
32,282.516,0,1
33,21.4214,323.89,0.062035
34,270.737,0,1
35,166.6,0,1
36,370.47,0,1
