 ,courtship_duration(min),mate_duration(min),CI,court start time(min),mate start time(min),mate end time(min)
1,96.6157,0,0,0.129751,0,0
2,91.9413,0,0,0.129751,0,0
3,105.839,0,0,0.0139218,0,0
4,104.127,0,0,0.0300711,0,0
5,103.059,0,0,0.0284005,0,0
6,111.554,0,0,0.0467773,0,0
7,111.419,0,0,0.0100237,0,0
8,22.6753,5.24351,0.868542,0.0167062,26.124,31.3675
9,101.653,0,0,0.0116943,0,0
10,7.22431,7.26607,0.920267,0.0150356,7.86527,15.1313
11,42.3819,11.848,0.859519,0.0322986,49.3411,61.1892
12,112.086,0,0,0.0267299,0,0
13,5.23627,13.3137,0.602409,0.0618129,8.75404,22.0677
14,106.687,0,0,0.00890996,0,0
15,87.2029,0,0,0.129751,0,0
16,99.2642,0,0,0.0133649,0,0
17,6.6886,12.1153,0.723511,0.0284005,9.27304,21.3884
18,88.2788,0,0,0.0501185,0,0
19,75.8305,0,0,0.00835309,0,0
20,100.915,0,0,0.0116943,0,0
21,112.273,0,0,0.0985665,0,0
22,93.5557,0,0,0.00835309,0,0
23,111.779,0,0,0.0100237,0,0
24,15.9822,4.50621,0.729333,0.0317417,21.9452,26.4514
25,77.564,0,0,0.129751,0,0
26,18.1346,6.1256,0.826124,0.0651541,22.0165,28.1421
27,96.9677,0,0,0.0233887,0,0
28,69.9983,0,0,0.0985665,0,0
29,97.9561,0,0,0.0128081,0,0
30,14.5411,13.7793,0.686219,0.0735072,21.2636,35.0429
31,14.9843,10.9882,0.498583,0.0150356,30.0689,41.0571
32,7.10904,13.0932,0.640606,0.0200474,11.1174,24.2106
33,101.552,0,0,0.0150356,0,0
34,98.7597,0,0,0.0200474,0,0
35,7.2477,4.55967,0.789314,0.00835309,9.19063,13.7503
36,4.65657,12.935,0.780183,0.0278436,5.9964,18.9314
