 ,courtship_time(min),mate_time(min),CI,court start time(min),mate start time(min),mate end time(min)
1,0.656211,0,inf,0.0633967,0,0
2,9.36547,0,inf,0.0556111,0,0
3,0.682904,10.3392,0.0409115,0.116783,16.6922,27.7277
4,3.50517,5.71237,0.429418,0.0544989,8.1626,13.984
5,0.194083,8.5085,0.106338,0.0711822,1.82516,10.4171
6,8.6631,0,inf,0.272494,0,0
7,0.299188,9.94883,0.0448857,0.589478,6.66555,16.7656
8,12.413,0,inf,0.0867533,0,0
9,0.29029,0,inf,0.146813,0,0
10,7.74996,0,inf,0.414859,0,0
11,0.0973194,5.80024,0.0155916,0.0667333,6.24179,12.1266
12,1.69558,8.01579,0.0495112,0.293627,34.2464,42.3467
13,1.57157,11.2479,0.134418,0.0578356,11.6917,23.0319
14,1.05828,6.9525,0.0261279,0.0667333,40.5038,0
15,9.34823,0,inf,0.13013,0,0
16,12.2889,0,inf,0.0834167,0,0
17,5.68123,0,inf,0.0589478,0,0
19,1.32799,8.33833,0.0729116,0.461572,18.2138,26.6355
20,0.834723,7.24168,0.0647318,0.106773,12.8951,20.3581
21,16.6945,0,inf,0.119008,0,0
22,0.359804,0,inf,0.101212,0,0
23,8.10365,0,inf,0.0967633,0,0
24,0.87087,9.86875,0.0763232,0.116783,11.4103,21.3625
25,0.310866,10.7063,0.0463593,0.48048,6.70559,17.5119
26,0.507173,0,inf,0.434879,0,0
27,3.44288,0,inf,5.84918,0,0
29,7.67878,0,inf,0.135691,0,0
30,0.005005,0,inf,0.259148,0,0
31,1.9247,7.10376,0.0966112,0.0656211,19.9221,27.1115
32,5.67456,0,inf,2.23557,0,0
33,3.7215,0,inf,0.264709,0,0
34,7.18218,0,inf,0.193527,0,0
35,0.0111222,0,inf,0.0845289,0,0
36,0.202981,0,inf,0.417083,0,0
